City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,klyuchi,52.2667,79.1667,19.02,75,96,4.9,RU,1689976354
1,grytviken,-54.2811,-36.5092,3.18,97,100,6.62,GS,1689976355
2,codrington,-38.2667,141.9667,9.46,87,100,5.15,AU,1689976081
3,seme,15.1942,-12.9448,32.27,51,95,5.27,SN,1689976355
4,pointe aux piments,-20.0628,57.5131,22.31,77,8,5.75,MU,1689976355
5,hamilton,39.1834,-84.5333,27.07,57,100,4.12,US,1689976639
6,port-aux-francais,-49.35,70.2167,0.87,59,100,15.95,TF,1689976005
7,adamstown,-25.066,-130.1015,21.08,72,48,13.01,PN,1689976356
8,mount pearl,47.5166,-52.7813,26.19,65,75,5.66,CA,1689976356
9,kavaratti,10.5669,72.642,28.16,80,100,9.45,IN,1689976356
10,edinburgh of the seven seas,-37.0676,-12.3116,12.33,65,100,7.11,SH,1689976356
11,college,64.8569,-147.8028,24.49,50,20,1.54,US,1689976724
12,yellowknife,62.456,-114.3525,27.29,34,100,6.17,CA,1689976646
13,ilulissat,69.2167,-51.1,4.29,94,100,3.0,GL,1689976654
14,waitangi,-43.9535,-176.5597,11.57,95,100,1.34,NZ,1689976282
15,blackmans bay,-43.0167,147.3167,5.29,91,44,3.13,AU,1689976643
16,bethel,41.3712,-73.414,28.05,76,75,2.57,US,1689976651
17,ust-nera,64.5667,143.2,16.25,89,100,2.78,RU,1689976286
18,matamey,13.4231,8.4749,30.55,43,53,3.77,NE,1689976358
19,puerto ayora,-0.7393,-90.3518,29.98,77,75,4.59,EC,1689976644
20,afaahiti,-17.75,-149.2833,25.93,61,42,5.0,PF,1689976669
21,mount gambier,-37.8333,140.7667,8.31,96,65,3.43,AU,1689976698
22,tralee,52.2704,-9.7026,13.54,96,100,4.21,IE,1689976726
23,al jawf,29.5,38.75,30.72,18,5,4.21,SA,1689976325
24,ushuaia,-54.8,-68.3,-1.19,69,75,6.69,AR,1689976726
25,i-n-salah,27.1935,2.4607,37.84,9,0,8.84,DZ,1689976726
26,sinabang,2.4803,96.3801,26.26,83,97,1.13,ID,1689976672
27,port elizabeth,-33.918,25.5701,15.16,63,0,3.09,ZA,1689976528
28,urangan,-25.3,152.9,16.32,58,0,4.96,AU,1689976727
29,jamestown,42.097,-79.2353,23.62,66,75,4.63,US,1689976651
30,akureyri,65.6835,-18.0878,11.96,76,75,2.57,IS,1689976707
31,east london,-33.0153,27.9116,16.69,54,88,5.4,ZA,1689976728
32,albany,42.6001,-73.9662,25.88,80,4,3.97,US,1689976638
33,bilibino,68.0546,166.4372,22.76,43,39,0.78,RU,1689976728
34,margate,51.3813,1.3862,15.94,79,98,1.34,GB,1689976715
35,whitehorse,60.7161,-135.0538,26.01,39,75,2.06,CA,1689976499
36,tolanaro,-25.0319,46.9987,16.04,94,40,0.0,MG,1689976684
37,acarau,-2.8856,-40.12,26.17,70,1,7.91,BR,1689976729
38,khadan khak,30.7477,67.7085,25.13,59,95,1.29,PK,1689976362
39,vernon,50.2581,-119.2691,37.39,19,99,1.03,CA,1689976442
40,puerto natales,-51.7236,-72.4875,-2.59,96,100,2.14,CL,1689976635
41,isafjordur,66.0755,-23.124,11.21,68,94,1.69,IS,1689976641
42,manokwari,-0.8667,134.0833,25.72,78,93,1.89,ID,1689976362
43,horta,38.5333,-28.6333,20.57,92,98,0.45,PT,1689976730
44,gadzhiyevo,69.2551,33.3362,8.59,81,100,7.28,RU,1689976730
45,altamira,-3.2033,-52.2064,29.05,70,0,0.0,BR,1689976363
